territoire_code;territoire_name;territoire_type
75056;Paris;1
93066;Saint-Denis;1
95018;Argenteuil;1
93048;Montreuil;1
94028;Créteil;1
92050;Nanterre;1
92026;Courbevoie;1
94081;Vitry-sur-Seine;1
92025;Colombes;1
92004;Asnières-sur-Seine;1
93005;Aulnay-sous-Bois;1
94017;Champigny-sur-Marne;1
93001;Aubervilliers;1
94068;Saint-Maur-des-Fossés;1
77284;Meaux;1
93029;Drancy;1
92040;Issy-les-Moulineaux;1
92044;Levallois-Perret;1
93051;Noisy-le-Grand;1
92002;Antony;1
92024;Clichy;1
95585;Sarcelles;1
95127;Cergy;1
94041;Ivry-sur-Seine;1
94076;Villejuif;1
93031;Épinay-sur-Seine;1
93055;Pantin;1
94046;Maisons-Alfort;1
93010;Bondy;1
77243;Lagny-sur-Marne;1
77108;Chelles;1
92023;Clamart;1
94033;Fontenay-sous-Bois;1
78361;Mantes-la-Jolie;1
91228;Évry;1
93007;Blanc-Mesnil (Le);1
78586;Sartrouville;1
93071;Sevran;1
91174;Corbeil-Essonnes;1
92049;Montrouge;1
94080;Vincennes;1
93070;Saint-Ouen;1
93008;Bobigny;1
92073;Suresnes;1
92062;Puteaux;1
94002;Alfortville;1
91377;Massy;1
78498;Poissy;1
77288;Melun;1
93046;Livry-Gargan;1
92036;Gennevilliers;1
94022;Choisy-le-Roi;1
93064;Rosny-sous-Bois;1
77514;Villeparisis;1
95268;Garges-lès-Gonesse;1
93053;Noisy-le-Sec;1
74012;Annemasse;1
93032;Gagny;1
93027;Courneuve (La);1
92007;Bagneux;1
95280;Goussainville;1
91589;Savigny-sur-Orge;1
77373;Pontault-Combault;1
93078;Villepinte;1
78172;Conflans-Sainte-Honorine;1
77445;Savigny-le-Temple;1
93072;Stains;1
91549;Sainte-Geneviève-des-Bois;1
91103;Brétigny-sur-Orge;1
93006;Bagnolet;1
93073;Tremblay-en-France;1
93050;Neuilly-sur-Marne;1
95252;Franconville;1
92020;Châtillon;1
94058;Perreux-sur-Marne (Le);1
95607;Taverny;1
94078;Villeneuve-Saint-Georges;1
92078;Villeneuve-la-Garenne;1
92019;Châtenay-Malabry;1
78311;Houilles;1
94052;Nogent-sur-Marne;1
91687;Viry-Châtillon;1
77152;Dammarie-les-Lys;1
91021;Arpajon;1
77083;Champs-sur-Marne;1
92046;Malakoff;1
78440;Mureaux (Les);1
93047;Montfermeil;1
94038;Haÿ-les-Roses (L');1
95500;Pontoise;1
93014;Clichy-sous-Bois;1
91027;Athis-Mons;1
95203;Eaubonne;1
78621;Trappes;1
94018;Charenton-le-Pont;1
94073;Thiais;1
91691;Yerres;1
92009;Bois-Colombes;1
91201;Draveil;1
94016;Cachan;1
93077;Villemomble;1
95063;Bezons;1
92035;Garenne-Colombes (La);1
91657;Vigneux-sur-Seine;1
78297;Guyancourt;1
92060;Plessis-Robinson (Le);1
95176;Cormeilles-en-Parisis;1
93059;Pierrefitte-sur-Seine;1
95680;Villiers-le-Bel;1
95219;Ermont;1
94079;Villiers-sur-Marne;1
91286;Grigny;1
92075;Vanves;1
91521;Ris-Orangis;1
95582;Sannois;1
77468;Torcy;1
95277;Gonesse;1
95306;Herblay;1
78208;Élancourt;1
94034;Fresnes;1
95199;Domont;1
94043;Kremlin-Bicêtre (Le);1
95229;Ézanville;1
93013;Bourget (Le);1
93063;Romainville;1
91692;Ulis (Les);1
91114;Brunoy;1
77390;Roissy-en-Brie;1
94021;Chevilly-Larue;1
06012;Beausoleil;1
94077;Villeneuve-le-Roi;1
95572;Saint-Ouen-l'Aumône;1
92032;Fontenay-aux-Roses;1
91421;Montgeron;1
95427;Montmagny;1
93045;Lilas (Les);1
94067;Saint-Mandé;1
74133;Gaillard;1
93057;Pavillons-sous-Bois (Les);1
77122;Combs-la-Ville;1
77285;Mée-sur-Seine (Le);1
95197;Deuil-la-Barre;1
91345;Longjumeau;1
91161;Chilly-Mazarin;1
94054;Orly;1
77294;Mitry-Mory;1
91434;Morsang-sur-Orge;1
95323;Jouy-le-Moutier;1
93049;Neuilly-Plaisance;1
94044;Limeil-Brévannes;1
95555;Saint-Gratien;1
91570;Saint-Michel-sur-Orge;1
94003;Arcueil;1
92014;Bourg-la-Reine;1
77296;Moissy-Cramayel;1
78005;Achères;1
95424;Montigny-lès-Cormeilles;1
94059;Plessis-Trévise (Le);1
01160;Ferney-Voltaire;1
95218;Éragny;1
93061;Pré-Saint-Gervais (Le);1
94019;Chennevières-sur-Marne;1
94042;Joinville-le-Pont;1
78165;Clayes-sous-Bois (Les);1
78545;Saint-Cyr-l'École;1
95598;Soisy-sous-Montmorency;1
77479;Vaires-sur-Marne;1
69199;Saint-Fons;1
94037;Gentilly;1
77258;Lognes;1
94004;Boissy-Saint-Léger;1
94011;Bonneuil-sur-Marne;1
94015;Bry-sur-Marne;1
77337;Noisiel;1
78123;Carrières-sous-Poissy;1
78124;Carrières-sur-Seine;1
95539;Saint-Brice-sous-Forêt;1
91326;Juvisy-sur-Orge;1
94069;Saint-Maurice;1
95487;Persan;1
95351;Louvres;1
93062;Raincy (Le);1
06104;Roquebrune-Cap-Martin;1
95019;Arnouville;1
91182;Courcouronnes;1
91479;Paray-Vieille-Poste;1
78242;Fontenay-le-Fleury;1
93079;Villetaneuse;1
91432;Morangis;1
91215;Épinay-sous-Sénart;1
78015;Andrésy;1
94074;Valenton;1
95210;Enghien-les-Bains;1
91514;Quincy-sous-Sénart;1
77251;Lieusaint;1
69152;Pierre-Bénite;1
78138;Chanteloup-les-Vignes;1
91191;Crosne;1
95051;Beauchamp;1
95488;Pierrelaye;1
95491;Plessis-Bouchard (Le);1
77169;Émerainville;1
06011;Beaulieu-sur-Mer;1
95527;Roissy-en-France;1
13055;Marseille;2
69123;Lyon;2
31555;Toulouse;2
06088;Nice;2
44109;Nantes;2
67482;Strasbourg;2
34172;Montpellier;2
33063;Bordeaux;2
59350;Lille;2
51454;Reims;2
35238;Rennes;2
76351;Havre (Le);2
80021;Amiens;2
42218;Saint-Étienne;2
83137;Toulon;2
38185;Grenoble;2
21231;Dijon;2
72181;Mans (Le);2
49007;Angers;2
30189;Nîmes;2
69266;Villeurbanne;2
29019;Brest;2
25056;Besançon;2
37261;Tours;2
63113;Clermont-Ferrand;2
13001;Aix-en-Provence;2
57463;Metz;2
87085;Limoges;2
66136;Perpignan;2
45234;Orléans;2
76540;Rouen;2
14118;Caen;2
54395;Nancy;2
59599;Tourcoing;2
60057;Beauvais;2
86194;Poitiers;2
27229;Évreux;2
64445;Pau;2
18033;Bourges;2
29232;Quimper;2
82121;Montauban;2
11262;Narbonne;2
06004;Antibes;2
17300;Rochelle (La);2
