code_commune;commune_name;territoire_code_insee;territoire_name
01001;L'Abergement-Clémenciat;01093;Châtillon-sur-Chalaronne
01002;L'Abergement-de-Varey;01004;Ambérieu-en-Bugey
01004;Ambérieu-en-Bugey;01004;Ambérieu-en-Bugey
01005;Ambérieux-en-Dombes;01194;Jassans-Riottier
01006;Ambléon;01034;Belley
01007;Ambronay;01004;Ambérieu-en-Bugey
01008;Ambutrix;01004;Ambérieu-en-Bugey
01009;Andert-et-Condon;01034;Belley
01010;Anglefort;74269;Seyssel
01011;Apremont;01283;Oyonnax
01012;Aranc;01185;Hauteville-Lompnes
01013;Arandas;01004;Ambérieu-en-Bugey
01014;Arbent;01283;Oyonnax
01015;Arbignieu;01034;Belley
01016;Arbigny;01305;Pont-de-Vaux
01017;Argis;01185;Hauteville-Lompnes
01019;Armix;01185;Hauteville-Lompnes
01021;Ars-sur-Formans;01194;Jassans-Riottier
01022;Artemare;01034;Belley
01023;Asnières-sur-Saône;01305;Pont-de-Vaux
01024;Attignat;01266;Montrevel-en-Bresse
01025;Bâgé-la-Ville;71270;Mâcon
01026;Bâgé-le-Châtel;71270;Mâcon
01027;Balan;01043;Beynost
01028;Baneins;01093;Châtillon-sur-Chalaronne
01029;Beaupont;39475;Saint-Amour
01030;Beauregard;69264;Villefranche-sur-Saône
01031;Bellignat;01283;Oyonnax
01032;Béligneux;01262;Montluel
01033;Bellegarde-sur-Valserine;01033;Bellegarde-sur-Valserine
01034;Belley;01034;Belley
01035;Belleydoux;01283;Oyonnax
01036;Belmont-Luthézieu;01034;Belley
01037;Bénonces;38247;Montalieu-Vercieu
01038;Bény;01451;Viriat
01039;Béon;01034;Belley
01040;Béréziat;01266;Montrevel-en-Bresse
01041;Bettant;01004;Ambérieu-en-Bugey
01042;Bey;01348;Saint-Didier-sur-Chalaronne - Thoissey
01043;Beynost;01043;Beynost
01044;Billiat;01033;Bellegarde-sur-Valserine
01045;Birieux;01443;Villars-les-Dombes
01046;Biziat;01457;Vonnas
01047;Blyes;01202;Lagnieu
01049;La Boisse;01043;Beynost
01050;Boissey;01305;Pont-de-Vaux
01051;Bolozon;01269;Nantua
01052;Bouligneux;01443;Villars-les-Dombes
01053;Bourg-en-Bresse;01053;Bourg-en-Bresse
01054;Bourg-Saint-Christophe;01244;Meximieux
01056;Boyeux-Saint-Jérôme;01004;Ambérieu-en-Bugey
01057;Boz;01305;Pont-de-Vaux
01058;Brégnier-Cordon;38012;Aoste
01059;Brénaz;01034;Belley
01060;Brénod;01185;Hauteville-Lompnes
01061;Brens;01034;Belley
01062;Bressolles;01262;Montluel
01063;Brion;01269;Nantua
01064;Briord;38247;Montalieu-Vercieu
01065;Buellas;01344;Saint-Denis-lès-Bourg
01066;La Burbanche;01034;Belley
01067;Ceignes;01269;Nantua
01068;Cerdon;01004;Ambérieu-en-Bugey
01069;Certines;01289;Péronnas
01071;Cessy;01173;Gex
01072;Ceyzériat;01053;Bourg-en-Bresse
01073;Ceyzérieu;01034;Belley
01074;Chalamont;01244;Meximieux
01075;Chaleins;01194;Jassans-Riottier
01076;Chaley;01185;Hauteville-Lompnes
01077;Challes-la-Montagne;01004;Ambérieu-en-Bugey
01078;Challex;01419;Thoiry
01079;Champagne-en-Valromey;01034;Belley
01080;Champdor;01185;Hauteville-Lompnes
01081;Champfromier;01033;Bellegarde-sur-Valserine
01082;Chanay;74269;Seyssel
01083;Chaneins;69019;Belleville
01084;Chanoz-Châtenay;01093;Châtillon-sur-Chalaronne
01085;La Chapelle-du-Châtelard;01443;Villars-les-Dombes
01087;Charix;01269;Nantua
01088;Charnoz-sur-Ain;01244;Meximieux
01089;Château-Gaillard;01004;Ambérieu-en-Bugey
01090;Châtenay;01244;Meximieux
01091;Châtillon-en-Michaille;01033;Bellegarde-sur-Valserine
01092;Châtillon-la-Palud;01004;Ambérieu-en-Bugey
01093;Châtillon-sur-Chalaronne;01093;Châtillon-sur-Chalaronne
01094;Chavannes-sur-Reyssouze;01305;Pont-de-Vaux
01095;Chavannes-sur-Suran;01451;Viriat
01096;Chaveyriat;01457;Vonnas
01097;Chavornay;01034;Belley
01098;Chazey-Bons;01034;Belley
01099;Chazey-sur-Ain;01244;Meximieux
01100;Cheignieu-la-Balme;01034;Belley
01101;Chevillard;01269;Nantua
01102;Chevroux;01305;Pont-de-Vaux
01103;Chevry;01354;Saint-Genis-Pouilly
01104;Chézery-Forens;01033;Bellegarde-sur-Valserine
01105;Civrieux;69143;Neuville-sur-Saône
01106;Cize;01053;Bourg-en-Bresse
01107;Cleyzieu;01004;Ambérieu-en-Bugey
01108;Coligny;39475;Saint-Amour
01109;Collonges;01033;Bellegarde-sur-Valserine
01110;Colomieu;01034;Belley
01111;Conand;01004;Ambérieu-en-Bugey
01112;Condamine;01269;Nantua
01113;Condeissiat;01457;Vonnas
01114;Confort;01033;Bellegarde-sur-Valserine
01115;Confrançon;01266;Montrevel-en-Bresse
01116;Contrevoz;01034;Belley
01117;Conzieu;01034;Belley
01118;Corbonod;74269;Seyssel
01119;Corcelles;01185;Hauteville-Lompnes
01121;Corlier;01185;Hauteville-Lompnes
01122;Cormaranche-en-Bugey;01185;Hauteville-Lompnes
01123;Cormoranche-sur-Saône;71090;La Chapelle-de-Guinchay - Crêches-sur-Saône
01124;Cormoz;39475;Saint-Amour
01125;Corveissiat;01053;Bourg-en-Bresse
01127;Courmangoux;39475;Saint-Amour
01128;Courtes;01305;Pont-de-Vaux
01129;Crans;01244;Meximieux
01130;Cras-sur-Reyssouze;01266;Montrevel-en-Bresse
01133;Cressin-Rochefort;01034;Belley
01134;Crottet;01134;Crottet - Pont-de-Veyle
01135;Crozet;01354;Saint-Genis-Pouilly
01136;Cruzilles-lès-Mépillat;01134;Crottet - Pont-de-Veyle
01138;Culoz;01034;Belley
01139;Curciat-Dongalon;01266;Montrevel-en-Bresse
01140;Curtafond;01266;Montrevel-en-Bresse
01141;Cuzieu;01034;Belley
